node_id,parent_id,edge_weight,vertex_label
268,89.0,223.0,108
269,90.0,225.0,106
270,90.0,226.0,107
271,90.0,227.0,108
272,91.0,229.0,106
273,91.0,230.0,107
274,91.0,231.0,108
275,92.0,234.0,119
276,92.0,235.0,120
277,92.0,236.0,121
278,93.0,238.0,119
279,93.0,239.0,120
280,93.0,240.0,121
281,94.0,242.0,119
282,94.0,243.0,120
283,94.0,244.0,121
284,95.0,361.0,180
285,95.0,360.0,179
286,95.0,359.0,178
287,96.0,357.0,180
288,96.0,356.0,179
289,96.0,355.0,178
290,97.0,353.0,180
291,97.0,352.0,179
292,97.0,351.0,178
293,98.0,348.0,167
294,98.0,347.0,166
295,98.0,346.0,165
296,99.0,344.0,167
297,99.0,343.0,166
298,99.0,342.0,165
299,100.0,340.0,167
300,100.0,339.0,166
301,100.0,338.0,165
302,101.0,335.0,154
303,101.0,334.0,153
304,101.0,333.0,152
305,102.0,331.0,154
306,102.0,330.0,153
307,102.0,329.0,152
308,103.0,327.0,154
309,103.0,326.0,153
310,103.0,325.0,152
311,104.0,321.0,180
312,104.0,320.0,179
313,104.0,319.0,178
314,105.0,317.0,180
315,105.0,316.0,179
316,105.0,315.0,178
317,106.0,313.0,180
318,106.0,312.0,179
319,106.0,311.0,178
320,107.0,308.0,167
321,107.0,307.0,166
322,107.0,306.0,165
323,108.0,304.0,167
324,108.0,303.0,166
325,108.0,302.0,165
326,109.0,300.0,167
327,109.0,299.0,166
328,109.0,298.0,165
329,110.0,295.0,154
330,110.0,294.0,153
331,110.0,293.0,152
332,111.0,291.0,154
333,111.0,290.0,153
334,111.0,289.0,152
335,112.0,287.0,154
336,112.0,286.0,153
337,112.0,285.0,152
338,113.0,281.0,180
339,113.0,280.0,179
340,113.0,279.0,178
341,114.0,277.0,180
342,114.0,276.0,179
343,114.0,275.0,178
344,115.0,273.0,180
345,115.0,272.0,179
346,115.0,271.0,178
347,116.0,268.0,167
348,116.0,267.0,166
349,116.0,266.0,165
350,117.0,264.0,167
351,117.0,263.0,166
352,117.0,262.0,165
353,118.0,260.0,167
354,118.0,259.0,166
355,118.0,258.0,165
356,119.0,255.0,154
357,119.0,254.0,153
358,119.0,253.0,152
359,120.0,251.0,154
360,120.0,250.0,153
361,120.0,249.0,152
362,121.0,247.0,154
363,121.0,246.0,153
364,121.0,245.0,152
